artist_id,artist_id_spotify,artist_name,spotify_monthly_listener,spotify_follower_cnt,spotify_popularity
17,5WY88tCMFA6J6vqSN3MmDZ?si=rxiuJiBCTi25-krgCJJqEw,넬,90187,111772,44
18,6keuCA49b9am8lisSodCh7?si=upJLSOQ0RuuVtFv51NDLzw,노브레인,13980,11354,25
19,0wGPie2VhTjtwscQEqBhDe?si=XWowh9HlSY-GHXwvZoXr-g,놀이도감,13164,11754,24
20,7BEtlrySFeWTKfR7psqtrB?si=ru2ZqDMfTVuKi3KYXFjdtQ,뉴클리어 이디엇츠,164,362,1
21,0ndvlJnYkMJZhet7fVhk9C?si=zRUpbcjBTgaC9ptcUPOvnw,다브다,3337,5458,16
22,3txAiGYUmI4p84stqOoi1s?si=SUPkVxTwTP61S24FLx6ImA,다섯,74048,58264,34
23,3nVkLQWe6gkgmqia9kl89z?si=FkK_mQt_TPe5Bj43Dujwyg,다양성,778,1149,4
24,27ztYHDlyrko7J1Qe3K8b0?si=o7fAe3kfSEKL-45fRqgq8w,다크 미러 오브 트레지디,1309,4794,8
25,2jLHrOkh1M5rLJgnrgfQf1?si=PoXcMF7HQZK0bhBSt-Ihcg,더 발룬티어스,117111,72552,40
26,1LHlLSJVC5PHdkvypiJDXH?si=4QEunVBSQcq8SKHBPp5vbA,더 보울스,610,553,3
27,7isCii8IZOBPInAYFn2n5Q?si=K9fcW071S86DXatOOp7fCw,더 폴스,263343,183161,48
28,3C9Tg0ENJ77szoSXlkSpZ3?si=BAOS8KU4RayfD3xtxonj6Q,더 픽스,3718,4117,15
29,2T5KKZuEEudb7alCJ1pCus?si=WoTWj1V9T2OUJpo17ch4RQ,데이먼스 이어,216658,110715,47
30,5TnQc2N1iKlFjYD7CPGvFc?si=MiXUWXakRuGJS2-pcR9Qew,데이식스,2352952,3627513,68
31,1ZBsXLFV4kdFa0yqqNy9kx?si=hXarzr9wQq-dLvQu8F7kHA,드링킹소년소녀합창단,16682,10689,24
32,469xVs93kidKRxcjb2LQe3?si=beej7ZOWRxSgSeb1HIbxqw,디폴트,380,352,5
33,2FDl06nCrSYpA1n9PLZfen?si=iSEqlcvwS-e2Hzjjj0xN5w,라쿠나,46436,38618,32
34,5AwL954EM1Rkus1lsy8JmU?si=p_M3QFW8RJ-ZwUiNZgA7HQ,로맨틱펀치,4004,3305,13
35,5xhi1KB7WkPiTYb5Fm3YvS?si=kdWpe4FFR-yFXc3bHPIuGw,리도어,88252,19784,39
36,63pbxC8Bnsozb9HkncfUw0?si=1UZotKANQdGjBFOMZ2hRwA,리프,31,57,0
37,02ROLqtEjHtHUbCuon7bQU?si=kki5CHuLSJSP8WfZtkwGvg,마이앤트메리,7672,7522,17
38,2IJQZNh2eIR9a21uq494UA?si=NAohbLxMQ-iyo9ICZg2oaw,매미,87742,80756,36
39,0a5JcWqYvVQFOGWt6SxvL7?si=c5d4qCF3STWx9tOJClJpMw,매써드,720,516,4
40,72RQExfl8kYY207YfKV5Nl?si=2g85Xe6aRU6r9i4Uw1uHVA,모스크바서핑클럽,1706,2260,8
41,7FPhKVHFqU4Er6VxA1fw3w?si=1FZJhlUKRF-hPTmWyfzudg,모허,621,217,6
42,5el08x2OR7VTWMLPE3DsJB?si=Z0-zkZ_mRVSQlxqCFaqQpg,미역수염,869,1238,7
43,6vbKIm1WsvhMMDpthYONc1?si=mx69P6yVTVSVCPaFE_cpaQ,바밍타이거,414807,102153,47
44,3IVOVMBeLoJNgb6hGh7OcM?si=sSL4Z2NpTAOlEWNtEpYtIw,바비핀스,122,552,1
45,20gFWTh2tofhLIjyn2fHeG?si=5BhSomMnTaSSk2ViSU9Snw,박소은,33364,15272,31
46,2ZJXX8yQiCD6Y2xEQylUCl?si=VrsrvpsWQQazxFiYgA_ZHA,베이루트택시,211,118,2
47,7zhojNyxff5HeS5mIgUVmU?si=J8ItftcGSpOS4REpTa1qug,보수동쿨러,22613,17597,28
48,3zyq3DzSd4aue9Q7s1qMVu?si=WztnmK-pSlCeoPFKzfxMjg,봉제인간,4548,3396,17
49,1gq4XavqmZhqOzEkpFBz1j?si=kh-KaOzsRJSYPIuI7GrQeg,브로콜리너마저,30784,37575,32
50,0rgwglSz7K4UVYUQ1svx1E?si=vZybDo1wQtuKOaB22w0A7g,브로큰 발렌타인,6553,4385,20
51,6UbmqUEgjLA6jAcXwbM1Z9?si=SKaFrtkwQ8uk7vnjCTw33w,비비,3673103,1703204,64
52,07OePkse2fcvU9wlVftNMl?si=LOVASFaNT8aJ1D0T2iMXeQ,새소년,311496,241478,46
53,04L3elxyr0XFua2Ek3domW?si=X8AOUyCgTM-zLHfkpPGWgA,선우정아,324818,134757,46
54,7owveHzN1hmQuw6Ojg4sI3?si=GTPt1dyyQm6lDqpZrPnwQQ,설,77535,90170,36
55,4tvbo17gXpYgSr8sTlkaby?si=uGtJOoscSXud4OgC4gYhmQ,세이수미,74673,48363,33
56,5DcbkrdjQzNrjzSYLa6QL4?si=kTtDOrgPSNurblKHhtQJQw,소음발광,1820,1875,9
57,3eqel93sPqKCJfZsgi1uHp?si=W0Sn73zrTBmqDoiJDmQuPg,스킵잭,1346,524,8
58,1rH9ZFWkeghhAktUmri9O6?si=vzM3jmn-RQaWhxrP6KafIA,시네마,3933,7802,12
59,2kxVxKOgoefmgkwoHipHsn?si=HoF7qlTFSDO-1v1x0IjRBg,실리카겔,125116,140584,44
60,5A5DAxEQJ5F7HA4wVVHV8a?si=QsrnlDmPSKWGCVCdnafIbQ,아디오스 오디오,4256,2581,17
61,3xcAo7jYL4FWAoyxxHvsjO?si=y8GjBlyHRUiAOUjPI9Pd0w,아마도이자람밴드,159,592,1
62,2Uss0IYMEmvDYXwkmnBCQh?si=ZCHeq4KoQv-7375lYOzN5w,아사달,186,107,3
63,5lC9qDfzcZb5iQp6x17ASP?si=QYl88BBhQSe01yZ5jW4Rhg,아월,52455,23154,30
64,4iWOfFVYkBIVyFHVeZiew4?si=kP6o6oEFR-mXxej_JPPqLA,연정,4679,2101,17
65,76eIrOIqck4yuOhrYZGx3a?si=_CNv55udR7S8GcFvycpmcQ,오션프롬더블루,199541,155593,43
66,50Zu2bK9y5UAtD0jcqk5VX?si=I9qGq6-kQJCKc_KuRhIQgg,우효,239540,161974,41
67,5069JTmv5ZDyPeZaCCXiCg?si=LuUYYwRzRYCFBPp-v1z4ng,웨이브투어스,8837740,4075191,76
68,5q9adPv91NFr8q2ZcKmX0V?si=CwkAhNcPSxynh3pr0D7Crw,유라,173499,115175,45
69,0kHgYUOcTac5RhkYx1thsq?si=7hDJc36FSJash9iEin7ZMA,이날치,55941,38692,32
70,0OmQCkk1rR3DJ0Y2NRxp6Z?si=HESdFGSVRP2v-v1x0Bb0lg,이디오테잎,6754,10833,17
71,1D96VVpW4US2VSZaZGsRmH?si=NWraeVG1QMaX70gIdwCCmA,이랑,21407,18209,27
72,4Xj0peBt3EZHbdF20JmdWC?si=zxFoRIK5RdumRksd4k5Ang,이무진,660890,304303,53
73,4uaP0mhy7ViCvT00Wduonj?si=ALweu7BqTD-y-Mwd8JYkoQ,이상은,19764,13748,23
74,6z4R3mCiiIiLgpicseyNkV?si=dUM_XNR_S7iHyTuaG0KcFQ,이승윤,117191,24005,51
75,6evmYxFbDSIHilUaYC9MhL?si=6ephNksKRMiGeDeUzDhqNQ,자우림,202793,79992,41
76,2SY6OktZyMLdOnscX3DCyS?si=rPFuoe9aTJC3ZLQR3zQbVg,잔나비,545948,642211,53
77,20xwrwSmGSBQLLV0EVRS9M?si=xO4Lfdk5S4S_o9SIpiD3jA,잠비나이,6287,26350,17
78,2kppzekGp379T3M56GYd7d?si=HOU7-nr8QPSHpMNy5AseIQ,장기하,19641,18961,24
79,7bWYN0sHvyH7yv1uefX07U?si=p8yrZ8APTbmBHDD8sj0Y2g,적재,305854,121764,46
80,3tvnuk98r2VOv9ygTK8cjs?si=UavYA6S9SoC74EACHChZmQ,정우,23181,14304,33
81,2pRZp2WxvnWWiSPcSSYkNV?si=N5384hmURiuTeSa0_OgBAQ,죠지,390591,167002,49
82,4CIo3JKWdZi41ZKLlSjlyO?si=jbynbQyqQeaesEYHnA11_g,지소쿠리클럽,75376,17229,36
83,0B0lliXRxbVGXjht1Y6QkS?si=RhfCHYbpQOqmjZrv2A-ewQ,채무자들,106,196,1
84,3uk3Jz2yT37niCo3c5GMf2?si=OEELmg_VS-O2ugiS8bl04g,체리필터,45144,21401,30
85,02lSURBnybQit6FIm8zGDE?si=MPMicjBjQCGivfit_q2ECQ,초록불꽃소년단,2943,2963,20
86,3ttQR1taRsySrYIc2U3iAA?si=R1LyD6H4QzCqFEDPTCvPyA,추다혜차지스,1525,2258,8
87,7c1HgFDe8ogy5NOZ1ANCJQ?si=H-jMNA2YS160T1SzrxgpuA,카더가든,581285,255202,52
88,6v8xPUDPu5hQlu0GrYHyOE?si=lNziyCKsRfSMtgVigPZqGA,카디,14115,15895,25
89,422jw2by1jl14vn1FP9EGA?si=P13C4WbgRmmApzLTpqQSQg,캐치더영,7519,10824,19
90,5KOhn3Gjbd4DUavli5No5f?si=wK87VIjHS-C_R8EJ7BO52w,코토바,11883,11762,21
91,0jg8QQ5BExafoPBy7ZyA5t?si=X4gGQPXdTjagH7WiaWRchQ,크라잉넛,32269,18846,29
92,0rPsKGkMcVmG62pW21ILWK?si=0OeQgqcXRXqEjWwQb7QKkQ,크랙베리,1052,274,4
93,4OIvtiUAaPgUT1ZzmVc5yb?si=VZj-XCxRRmqrRpVPcXXcgA,크랙샷,2347,1333,10
94,3SUcH2pbCDVAAJKwlSr9gh?si=XK_fyAzpT--wfmJMR8iVuw,크램,3,12,0
95,5jgIm8tZ4hqLeoHTo9wJIV?si=VXa4eT2qToWxKllfmkVKZA,터치드,36966,20399,36
96,7eZbNxarrTW4VkRI8u9aDX?si=jg077bbcSUmpU8fgqlwYcQ,파란노을,98182,98265,40
97,2xZTZp5pEyDp5RtvNGzh8n?si=7sDt27BYTxqL_kQANA2fUA,퍼지퍼그,13,32,0
98,5wVJpXzuKV6Xj7Yhsf2uYx?si=zom3l_wATjaTNnKDprfsWg,한로로,90841,34665,43
99,2G2Jiy00NjBxfbex9wXkeN?si=3RZYNlFrR16v40von9NAvQ,해서웨이,13201,10722,23
100,3fLpSd4dRogbjsg3JxEL2f?si=I7xynGfcQ7CTgIJC1tBNiQ,홈 슬라이스,13,65,0
101,3PIsLQ22l4FXjkpyua0L3n?si=wQEMHVj4RrmC-iN79QInPg,화노,4119,1996,11
102,64sY7LsUjNE3ifONkftTXC?si=VYQdE90nSPyIBfgEKh3EJw,ADOY,205682,174122,43
103,3cCaTUacr5zO6U6NK4zafd?si=vZki22CsT6qUhmsfWyLWmA,CHS,30345,14742,28
104,2ULfZAs05dyyWxznOPua14?si=8B29q_WoTmmF1c9Pdj3Cfw,KAVE,19210,9547,31
105,0XufO9nLOKNN0w0qNrDrZy?si=Qv33H5BKS9i8OfLZVMQWLA,QWER,386632,220364,53
106,6UdKtISMXYKSR8jcgtFePo?si=8-9OAMkEQ1iO9bE4ePtS4A,Rad Museum,256894,170978,48
107,4nBDC9OaFPlcrBPwuJzRGM?si=yM5fK0D8RkqqmSSw6vQIzQ,Red C,272,453,2
108,0cVAshUDQXzj7LUBq9BLLl?si=E8x-FHXFQBaxICyNlstdTg,Remnants of the Fallen,1779,2536,8
109,6qzA8cgwfUtv4M5BHgCK7C?si=2_ZVwS7BSgCQqLsHPOpYWw,Sailor Honeymoon,3702,2787,13
110,5ZvbUkbbw0B8SMap2PpPIc?si=qNMsvSanQy-38XEyZ4QwBw,Snake Chicken Soup,1183,2007,11
111,1JluhyaAkZeJxskwgxlu7o?si=zr8l5lgmQBy8MumikgPzAg,The Sound,187,327,2
112,1aBpZ0N9BHa5pVM8oKhT0D?si=1-pLKAnXQ2WtLRCp-SEhkA,TRPP,9764,11646,22
