artist_id,artist_id_spotify,artist_name,spotify_monthly_listener,spotify_follower_cnt,spotify_popularity
0,0ePKWgwmESq5970Hq1c3yE?si=MpLFHImlQyuzOe0PdRMe2A,250,7280,13559,20
1,3HbmUr6CJxkk0YGkxeNpMp?si=WHRUwBUtSb2Fw8xI8bvBBg,갤럭시익스프레스,2774,4214,23
2,4vFO3Z1XVJ3IOX4nQjPW62?si=1ZcDmV8TT5ager_XHTR2BQ,검엑스,4115,3080,20
3,6WeDO4GynFmK4OxwkBzMW8?si=y8YPEPnORjKiwAIEEOscPQ,검정치마,1422675,480194,57
4,3DUz5LZtuWvUFgyRsgZNR7?si=e84d4ngMQPOMqreXL2nnIA,구남과여라이딩스텔라,1957,2961,12
5,0kRAVpQhUUArA8UnYwEdeZ?si=NpR2jhoDSZuKBZU3xHG1EA,권진아,339466,161269,47
6,6GUWxio3LfJjV8DyH6RXEM?si=siXe3m67QC-kqPDZuHCyzQ,극동아시아타이거즈,1865,1449,16
7,68ZtcdthScW8ISOvVNW9sV?si=E22C6wh2TseJSuoku-nOpg,글렌체크,108650,42453,40
8,6g3wwcrVl0v453lpIoYENy?si=H1etoovKRD66YYZgras2iQ,김늑,653,192,5
9,7EVlq3yUVHbHZZsaYSOcXt?si=auQfobr8TfqTWv7L1jd-rQ,김뜻돌,138536,78775,42
10,5jiscb6yxuu9hj4BoW5Wea?si=q3vZjDiuT5mpwytZQ1eEEA,김윤아,51860,34120,42
11,7ye0MIdrYqCNoPLT8Fdcz5?si=idT5webqQAuhzfwGIRfhxQ,김일두,2022,1930,13
12,11nq4YOivpdRjEZ1nGzDE7?si=FZqttyh1RF-OnHkI0MKmDw,김창완밴드,237,504,2
13,296ryPygSSpdsrZJk2x5Up?si=--USwl11TAqZzYa4xqw1Mg,까데호,7034,5709,19
14,5td0g0Owd8ZYu7SVb6f9xh?si=EuSfNkZwSwua1SSnEvghkw,나상현씨밴드,39774,23858,33
15,5WKUZJPvN1SScyggtPFShK?si=O6nhMkOQRNyLXQcaQ2X-lQ,너드커넥션,275274,187822,46
16,6v5cGuRCZKq08nLI4WXJuB?si=U1F3XoM5QemMY94oJa--2g,넉살,76766,46327,37
