artist_id,artist_id_youtube,artist_name,youtube_follower_cnt,youtube_video_cnt,youtube_total_views
74,UC2KmG_o7JZcPr052P87GdsQ,이승윤,125000.0,225.0,47258360.0
75,UCyPwyuEZLmXJXa0M24-Sh6Q,자우림,107000.0,98.0,22456150.0
76,UCMIUx2zV4VvZGyrt4CetTbA,잔나비,277000.0,374.0,29952690.0
77,UCiVX7LyQ_zfqqwbptrra9hA,잠비나이,14600.0,24.0,1452521.0
78,UCWFhVn01JxtSNWkKNKo-CDA,장기하,57700.0,48.0,8515242.0
79,UCnLtKHf2cDTRgWYKDIoW0nw,적재,118000.0,175.0,8890157.0
80,UC82jzpYAmk3bba1eWkk1Njw,정우,14000.0,9.0,399745.0
81,UCj2E4wFosHCvxO0Jem_Vpzw,죠지,59100.0,11.0,2070256.0
82,UCiCwVvbfQdtunFLE6aB3D_w,지소쿠리클럽,83900.0,13.0,882508.0
83,UCCzYomysahxqHw7MjcozH0Q,채무자들,184.0,26.0,8942.0
84,,체리필터,,,
85,UC_TaghShKu7vWx8GkK4VrxA,초록불꽃소년단,3570.0,63.0,383567.0
86,UCk9Jf1tB8gujvr9V5aQ8KdA,추다혜차지스,3570.0,19.0,215804.0
87,UC1KHPyA5XiRMxiXcV9kruNA,카더가든,117000.0,159.0,25436703.0
88,UC9D3wSCLuif2Hd3kTc4zD9w,카디,31800.0,53.0,1897025.0
89,UCIqbCtkXMNRwi7-cwIeqE9A,캐치더영,6630.0,393.0,1889572.0
90,UCwKf8Qw6Um090LXWTgIP-sQ,코토바,69000.0,196.0,1345777.0
91,,크라잉넛,,,
92,UCFlAi2xJQM7rmfz22wY175A,크랙베리,1110.0,100.0,215544.0
93,UCffnIpZgupPrNAtYvS60UAQ,크랙샷,6340.0,218.0,504685.0
94,UCVwc5WJ6TGgcsP0jKqyt2FA,크램,1450.0,35.0,62029.0
95,UC1VarYVKLPA6DL8rLclYxBg,터치드,56800.0,157.0,5732595.0
96,UC7dSgh4tqzqk1bFxYW4If2A,파란노을,21400.0,42.0,1667640.0
97,UC_LZtMPCbCMqsL3Dtq_7JBQ,퍼지퍼그,55.0,6.0,1861.0
98,UCrDa_5OU-rhvXqWlPx5hgKQ,한로로,34200.0,115.0,4498631.0
99,UCmmzRS14shy_mVirmBNZxXg,해서웨이,1750.0,25.0,72035.0
100,,홈 슬라이스,,,
101,UC1a8zgnRWRmhakkzUT33Yuw,화노,984.0,26.0,24808.0
102,UCAb1DeCXxhxP7QwC7wfd_UA,ADOY,66100.0,21.0,9399344.0
103,UCELRmiQtqBV910rlGLzxeMg,CHS,5780.0,52.0,362896.0
104,UCtX6ezV20wLb5U6lOxTvQng,KAVE,27100.0,165.0,4486727.0
105,UCgD0APk2x9uBlLM0UsmhQjw,QWER,1150000.0,467.0,348809309.0
106,UCSPRXXWsW8MqiM7p2vqqViQ,Rad Museum,30400.0,1.0,1971440.0
107,UCAxt_zt3iRXL0MopuhzO4zQ,Red C,13.0,2.0,75.0
108,UCx38O7nrzSsE8mQerDQNHZA,Remnants of the Fallen,770.0,9.0,88666.0
109,UCnhqA5wdOT7DRdUmSPCqm7g,Sailor Honeymoon,550.0,31.0,33992.0
110,UCvALo51OGraEZ61cix8QNTQ,Snake Chicken Soup,407.0,30.0,17971.0
111,,The Sound,,,
112,UCO9ihjNbr7xw5V9kNC1ZUqg,TRPP,1220.0,5.0,32209.0
