artist_id,artist_id_youtube,artist_name,youtube_follower_cnt,youtube_video_cnt,youtube_total_views
0,,250,,,
1,UCsilEpR2UHgFa-JV_q6CFHQ,갤럭시익스프레스,1750.0,0.0,0.0
2,UC0j1cP2C30YFiI9OnjfCwIw,검엑스,,0.0,0.0
3,UCMywBcgtpid_7bWQP-pEn2w,검정치마,118000.0,0.0,0.0
4,UC2uyDkfZOB1fcKSZ75LEMFg,구남과여라이딩스텔라,,0.0,0.0
5,UC5KDvE51c8EqBK8G3Lv-7-g,권진아,,0.0,0.0
6,UCMbwvl6PdEqGmzUmGgKnuHg,극동아시아타이거즈,,0.0,0.0
7,UCZsxMTnJzEjMBGhXVy23phg,글렌체크,,0.0,0.0
8,UCLXC5_z5ioxnWK1up9LS_Pg,김늑,,0.0,0.0
9,UCIUbXhcpDmWajKpB7rOZcmg,김뜻돌,,0.0,0.0
10,UCGl6iy2e4F6cXR_nNV2kyTg,김윤아,,0.0,0.0
11,,김일두,,,
12,UCoYsB0uSS4V8zwJ5w9wiXhw,김창완밴드,,0.0,0.0
13,,까데호,,,
14,UCayEH46Rr_uucTJShN2hjaw,나상현씨밴드,,0.0,0.0
15,UCgI0yyuYZGo2iqlBk-Rn8YQ,너드커넥션,,0.0,0.0
16,,넉살,,,
17,UChIKGx60x4D5elEbb5Vjtow,넬,,0.0,0.0
18,UCGPvIaYhnCk5Ks9nqIJyGqg,노브레인,,0.0,0.0
19,UC2IVvNlTmswGGbzjPeqNjkg,놀이도감,,0.0,0.0
20,UCdFB3v5099dNtfFCdwxsq0g,뉴클리어 이디엇츠,,0.0,0.0
21,UCN7rlyHXH5PSmowf_ayIIHg,다브다,,0.0,0.0
22,UCoMOZkt2ASNX1hdnnYHh9Qg,다섯,,0.0,0.0
23,UCurz-dBcU73e4e_EprVPPRw,다양성,,0.0,0.0
24,UCQxLWrYo0oaYYeqgRNTM20w,다크 미러 오브 트레지디,,0.0,0.0
25,UCVlcbGb0bA8Db7DAZVuIPJw,더 발룬티어스,,0.0,0.0
26,UCtF6viY58Tnt3L3Pw-cQHRA,더 보울스,,0.0,0.0
27,UCdUqvGMzYNVoYC1Wjz8-a5w,더 폴스,,0.0,0.0
28,UC3R95aJVMErCj9bPfHTBPFQ,더 픽스,,0.0,0.0
29,UCsh9SN6pOoTAx5-ZU0WcsIQ,데이먼스 이어,,0.0,0.0
30,UCp-pqXsizklX3ZHvLxXyhxw,데이식스,,0.0,0.0
31,UCZ-TCOPrVoAQroP1i_F60UA,드링킹소년소녀합창단,,0.0,0.0
32,UCA4QJNMg-dHwPXClmXCsqew,디폴트,,0.0,0.0
33,UCPFSt6-yur8aB0o22j9Cu8Q,라쿠나,,0.0,0.0
34,UCxDdunlow36vxx3U4_vGhSg,로맨틱펀치,,0.0,0.0
35,UCYVJcQTELkYJmUsHCskv94Q,리도어,,0.0,0.0
36,UCT1QKCOno2O3nR6zisRO2uQ,리프,,0.0,0.0
37,,마이앤트메리,,,
38,UCzGeR7mUILJmjPQs4ofcvdQ,매미,,0.0,0.0
39,UCQ1dtO7vArX-XSfCuilRQeA,매써드,,0.0,0.0
40,UCWq8gDnqYyOgBRgXLKVWt9Q,모스크바서핑클럽,,0.0,0.0
