artist_id,artist_id_melon,artist_name,melon_follower_cnt,melon_song_cnt,melon_album_cnt,melon_total_song_likes,melon_max_song_likes,melon_min_song_likes,melon_mean_song_likes,melon_total_album_likes,melon_max_album_likes,melon_min_album_likes,melon_mean_album_likes
41,3832609,모허,45,10,1,139,31,4,13.9,56,56,56,56.0
42,966947,미역수염,98,21,4,364,61,2,17.333333333333332,112,52,16,28.0
43,2191717,바밍타이거,9433,31,12,76108,20115,127,2455.0967741935483,10468,4370,138,872.3333333333334
44,1958033,바비핀스,212,27,13,1251,153,10,46.333333333333336,422,63,6,32.46153846153846
45,1273981,박소은,10100,56,25,120563,18857,8,2152.910714285714,10049,1696,65,401.96
46,3105934,베이루트택시,74,16,6,368,88,6,23.0,107,24,13,17.833333333333332
47,2137328,보수동쿨러,3706,38,11,34795,6828,43,915.6578947368421,3307,786,56,300.6363636363636
48,3177986,봉제인간,611,17,4,3648,572,5,214.58823529411765,885,325,113,221.25
49,230490,브로콜리너마저,29476,119,32,356014,47054,14,2991.714285714286,34539,6752,121,1079.34375
50,447701,브로큰 발렌타인,3812,62,20,43527,17678,5,702.0483870967741,5985,1987,41,299.25
51,2403002,비비,65991,86,51,1050515,150898,23,12215.290697674418,124567,13746,103,2442.4901960784314
52,1221461,새소년,34573,30,16,303579,84198,81,10119.3,27969,6042,25,1748.0625
53,184910,선우정아,53253,274,124,934356,187111,1,3410.058394160584,27100,1531,0,200.74074074074073
54,2297355,설,20861,61,28,228670,23460,55,2286.7,12846,1611,36,428.2
55,786496,세이수미,2405,87,22,25700,4130,11,257.0,9484,1531,39,316.1333333333333
56,2633235,소음발광,253,41,10,1120,127,5,27.317073170731707,366,140,5,36.6
57,2110151,스킵잭,305,33,18,1961,176,9,59.42424242424242,686,68,8,22.866666666666667
58,2968030,시네마,1723,6,4,9013,2454,59,1502.1666666666667,2215,717,222,553.75
59,883187,실리카겔,25169,76,25,435900,49107,307,4359.0,34028,4906,136,1134.2666666666667
60,1183036,아디오스 오디오,1832,42,16,11337,2882,6,269.92857142857144,2808,249,39,93.6
61,230402,아마도이자람밴드,1562,53,23,17376,1512,20,173.76,2426,213,26,80.86666666666666
62,3945642,아사달,88,8,4,226,62,18,28.25,80,32,4,20.0
63,2243371,아월,2764,27,10,21606,5381,11,800.2222222222222,3601,1645,38,360.1
64,3155908,연정,791,15,7,5607,1295,34,373.8,1080,362,69,154.28571428571428
65,2111101,오션프롬더블루,14566,117,26,88677,5158,10,591.18,12356,1051,64,411.8666666666667
66,773385,우효,56559,71,25,955644,161445,11,9556.44,69776,10880,274,2325.866666666667
67,2743599,웨이브투어스,34171,51,16,675138,67040,104,6751.38,42552,5588,27,1418.4
68,2191161,유라,23616,56,28,347340,27041,42,3473.4,17480,2328,44,582.6666666666666
69,2760294,이날치,5516,34,17,50732,29294,31,1492.1176470588234,24026,4714,33,800.8666666666667
70,484441,이디오테잎,3978,85,25,10718,1215,8,107.18,3242,493,7,108.06666666666666
71,687385,이랑,5111,52,14,60492,3604,2,604.92,5855,1586,6,418.2142857142857
72,2138620,이무진,69082,84,56,1024306,120823,219,10243.06,123248,7136,129,2054.133333333333
73,458,이상은,7107,193,41,81980,9097,8,409.9,26166,4761,8,581.4666666666667
74,723192,이승윤,50726,127,44,676536,7699,928,4510.24,352467,18155,820,7832.6
75,100094,자우림,39385,285,45,921330,40241,112,3071.1,109461,11281,166,2432.4666666666667
76,772253,잔나비,154911,98,38,3226066,437548,1395,32260.66,423243,50295,1222,9405.4
77,526022,잠비나이,1523,39,11,5478,1014,13,140.46153846153845,3384,1381,24,307.6363636363636
78,611343,장기하,7562,49,20,88825,46809,8,1812.7551020408164,64720,6768,213,2157.3333333333335
79,771375,적재,47294,131,60,302022,17505,4,2013.48,34056,1960,45,567.6
80,2735906,정우,7668,40,19,73818,14616,154,1845.45,10206,1269,40,340.2
81,790830,죠지,46312,70,31,1029888,103431,73,10298.88,61428,3513,64,1365.0666666666666
82,2754530,지소쿠리클럽,4605,21,10,27093,11060,71,1290.142857142857,1648,268,71,164.8
83,3074520,채무자들,102,14,3,494,72,10,35.285714285714285,150,73,28,50.0
84,101491,체리필터,11138,116,28,137904,23502,49,919.36,15762,1671,16,525.4
85,861391,초록불꽃소년단,548,35,3,3890,480,32,111.14285714285714,441,189,72,147.0
86,2870640,추다혜차지스,282,10,2,963,368,28,96.3,396,333,63,198.0
87,735506,카더가든,75113,158,76,1027672,115638,36,5138.36,68292,2499,49,758.8
88,2968022,카디,2950,29,15,18235,3000,21,628.7931034482758,4547,751,49,303.1333333333333
89,3612125,캐치더영,432,20,4,3263,413,12,163.15,421,158,68,105.25
90,2741938,코토바,759,52,17,6518,357,1,65.18,2068,442,10,68.93333333333334
91,100766,크라잉넛,5877,230,67,64530,1484,11,258.12,12470,676,21,166.26666666666668
92,924969,크랙베리,109,19,9,357,76,3,18.789473684210527,475,248,7,52.77777777777778
93,838868,크랙샷,968,35,14,4852,1045,5,138.62857142857143,1524,442,19,108.85714285714286
94,2855922,크램,15,12,4,58,12,1,4.833333333333333,20,8,2,5.0
95,2905108,터치드,10985,32,19,91110,14725,166,2847.1875,16594,1448,57,553.1333333333333
96,2932884,파란노을,1414,64,12,9242,469,21,92.42,2275,1048,29,189.58333333333334
97,2241864,퍼지퍼그,66,11,7,247,73,6,22.454545454545453,112,57,3,16.0
98,3080810,한로로,7897,28,16,73521,15894,178,2625.75,15260,1406,182,508.6666666666667
99,2902255,해서웨이,1734,30,8,14927,2790,20,497.56666666666666,1399,288,81,174.875
100,3474202,홈 슬라이스,27,7,2,123,29,6,17.571428571428573,43,35,8,21.5
101,2297235,화노,632,19,10,3763,744,37,198.05263157894737,550,102,20,55.0
102,1704627,ADOY,25138,49,11,185118,42779,198,3777.918367346939,18229,4537,168,1657.1818181818182
103,2137345,CHS,1485,29,15,8163,1756,38,281.48275862068965,1275,294,28,85.0
104,2861867,KAVE,157,15,3,1169,497,27,77.93333333333334,171,65,47,57.0
105,3610529,QWER,29150,21,4,446886,141278,1225,21280.285714285714,34050,13071,1808,8512.5
106,1815251,Rad Museum,11278,57,14,119174,8986,73,1191.74,14817,5560,36,1058.357142857143
107,2855009,Red C,175,41,12,1059,77,8,25.829268292682926,455,250,8,37.916666666666664
108,177736,Remnants of the Fallen,256,37,9,1337,522,1,36.13513513513514,625,214,10,69.44444444444444
109,3457989,Sailor Honeymoon,48,13,6,156,41,3,12.0,32,15,2,5.333333333333333
110,3158525,Snake Chicken Soup,227,24,5,791,126,3,32.958333333333336,142,56,8,28.4
111,2085985,The Sound,122,29,9,599,71,7,20.655172413793103,159,47,4,17.666666666666668
112,2940460,TRPP,1632,48,10,12148,1473,17,253.08333333333334,2236,591,73,223.6
