artist_id,artist_id_melon,artist_name,melon_follower_cnt,melon_song_cnt,melon_album_cnt,melon_total_song_likes,melon_max_song_likes,melon_min_song_likes,melon_mean_song_likes,melon_total_album_likes,melon_max_album_likes,melon_min_album_likes,melon_mean_album_likes
0,640712,250,3225,14,4,12757,2160,339,911.2142857142857,3206,2749,107,801.5
1,227741,갤럭시익스프레스,1532,158,38,13835,1661,0,87.5632911392405,5611,823,0,147.6578947368421
2,107122,검엑스,500,98,16,3933,605,4,40.13265306122449,854,247,12,53.375
3,276166,검정치마,90164,88,20,1566384,171952,546,17799.81818181818,130580,27560,608,6529.0
4,230407,구남과여라이딩스텔라,1899,68,17,12600,2048,19,185.2941176470588,5208,698,54,306.3529411764706
5,760046,권진아,75432,124,74,1579235,166316,48,12735.766129032258,193133,19489,168,2609.9054054054054
6,2863270,극동아시아타이거즈,660,23,12,4499,425,18,195.6086956521739,1136,197,49,94.66666666666667
7,520620,글렌체크,15996,110,29,134636,42047,1,1223.9636363636364,14881,4864,4,513.1379310344828
8,2642585,김늑,280,23,14,1786,252,2,77.65217391304348,401,127,6,28.642857142857142
9,1816503,김뜻돌,6023,42,16,53996,9228,68,1285.6190476190477,6628,2213,41,414.25
10,1767,김윤아,26999,148,75,426483,60050,3,2881.641891891892,144081,13925,0,1921.08
11,600331,김일두,1420,163,32,9835,1209,0,60.33742331288344,2560,326,5,80.0
12,280666,김창완밴드,1875,54,11,10933,3450,8,202.46296296296296,3991,836,22,362.8181818181818
13,2140061,까데호,1303,119,25,14056,1025,12,118.11764705882354,4263,1002,14,170.52
14,791510,나상현씨밴드,10945,133,50,176184,13731,93,1324.6917293233082,28327,3993,76,566.54
15,2243398,너드커넥션,23038,69,26,505444,166144,4,7325.275362318841,21291,3983,69,818.8846153846154
16,672461,넉살,22683,90,47,314665,86635,2,3496.277777777778,67938,9463,30,1445.4893617021276
17,101094,넬,58739,214,48,1284534,177794,11,6002.4953271028035,156353,11216,274,3257.3541666666665
18,100829,노브레인,3186,253,85,74657,18661,2,295.0869565217391,50876,12535,20,598.5411764705882
19,2621825,놀이도감,1664,27,25,9180,790,68,340.0,22101,4906,49,884.04
20,1867289,뉴클리어 이디엇츠,96,47,9,516,31,1,10.97872340425532,204,50,10,22.666666666666668
21,699171,다브다,891,25,8,4222,547,17,168.88,769,237,23,96.125
22,1229977,다섯,13924,38,19,134011,34006,33,3526.6052631578946,7965,1600,83,419.2105263157895
23,2934135,다양성,490,25,10,4050,616,33,162.0,574,153,18,57.4
24,170655,다크 미러 오브 트레지디,267,37,5,1195,522,3,32.2972972972973,400,214,19,80.0
25,2940086,더 발룬티어스,19670,19,4,150556,41194,887,7924.0,20005,14122,929,5001.25
26,906721,더 보울스,418,58,14,3066,180,22,52.86206896551724,718,118,20,51.285714285714285
27,1909295,더 폴스,5481,37,13,47507,3671,172,1283.972972972973,3987,867,153,306.6923076923077
28,2968032,더 픽스,970,10,6,4166,1145,73,416.6,1869,717,32,311.5
29,1757393,데이먼스 이어,46193,45,21,670648,167229,469,14903.288888888888,33627,4559,471,1601.2857142857142
30,894864,데이식스,206505,131,26,5388302,364525,1937,41132.076335877864,523999,38562,3376,20153.80769230769
31,861550,드링킹소년소녀합창단,175,42,11,857,117,4,20.404761904761905,422,110,3,38.36363636363637
32,2909008,디폴트,172,14,5,779,101,30,55.642857142857146,113,41,9,22.6
33,2558908,라쿠나,9442,50,22,113341,11139,56,2266.82,12400,1772,23,563.6363636363636
34,422340,로맨틱펀치,7081,100,42,81339,7346,9,813.39,14277,1987,46,339.92857142857144
35,2912742,리도어,8082,13,6,101766,53155,1484,7828.153846153846,5486,1541,513,914.3333333333334
36,3617318,리프,46,8,4,162,48,8,20.25,63,19,13,15.75
37,101143,마이앤트메리,4017,72,13,46954,7844,3,652.1388888888889,17630,3677,51,1356.1538461538462
38,722733,매미,903,14,37,3151,740,15,225.07142857142858,2432,155,13,65.72972972972973
39,181698,매써드,312,94,16,1836,522,0,19.53191489361702,670,214,0,41.875
40,2922108,모스크바서핑클럽,572,30,11,3299,551,3,109.96666666666667,581,135,11,52.81818181818182
