artist_id,artist_id_youtube,artist_name,youtube_follower_cnt,youtube_total_views,youtube_video_cnt
83,UCCzYomysahxqHw7MjcozH0Q,채무자들,182.0,8873.0,26.0
84,,체리필터,,,
85,UC_TaghShKu7vWx8GkK4VrxA,초록불꽃소년단,3520.0,380242.0,63.0
86,UCk9Jf1tB8gujvr9V5aQ8KdA,추다혜차지스,3550.0,214853.0,19.0
87,UC1KHPyA5XiRMxiXcV9kruNA,카더가든,114000.0,24925447.0,159.0
88,UC9D3wSCLuif2Hd3kTc4zD9w,카디,30000.0,1817271.0,52.0
89,UCIqbCtkXMNRwi7-cwIeqE9A,캐치더영,6580.0,1880045.0,389.0
90,UCwKf8Qw6Um090LXWTgIP-sQ,코토바,69000.0,1344792.0,195.0
91,,크라잉넛,,,
92,UCFlAi2xJQM7rmfz22wY175A,크랙베리,1100.0,213830.0,100.0
93,UCffnIpZgupPrNAtYvS60UAQ,크랙샷,6170.0,482156.0,207.0
94,UCVwc5WJ6TGgcsP0jKqyt2FA,크램,1440.0,60558.0,33.0
95,UC1VarYVKLPA6DL8rLclYxBg,터치드,55800.0,5533591.0,148.0
96,UC7dSgh4tqzqk1bFxYW4If2A,파란노을,21200.0,1648571.0,42.0
97,UC_LZtMPCbCMqsL3Dtq_7JBQ,퍼지퍼그,56.0,1850.0,6.0
98,UCrDa_5OU-rhvXqWlPx5hgKQ,한로로,33500.0,4351471.0,115.0
99,UCmmzRS14shy_mVirmBNZxXg,해서웨이,1740.0,71636.0,25.0
100,,홈 슬라이스,,,
101,UC1a8zgnRWRmhakkzUT33Yuw,화노,980.0,24548.0,26.0
102,UCAb1DeCXxhxP7QwC7wfd_UA,ADOY,66000.0,9389245.0,21.0
103,UCELRmiQtqBV910rlGLzxeMg,CHS,5750.0,360186.0,52.0
104,UCtX6ezV20wLb5U6lOxTvQng,KAVE,26900.0,4463013.0,165.0
105,UCgD0APk2x9uBlLM0UsmhQjw,QWER,1150000.0,344785795.0,459.0
106,UCSPRXXWsW8MqiM7p2vqqViQ,Rad Museum,30300.0,1967316.0,1.0
107,UCAxt_zt3iRXL0MopuhzO4zQ,Red C,12.0,63.0,2.0
108,UCx38O7nrzSsE8mQerDQNHZA,Remnants of the Fallen,768.0,88518.0,9.0
109,UCnhqA5wdOT7DRdUmSPCqm7g,Sailor Honeymoon,550.0,33526.0,31.0
110,UCvALo51OGraEZ61cix8QNTQ,Snake Chicken Soup,393.0,17359.0,30.0
111,,The Sound,,,
112,UCO9ihjNbr7xw5V9kNC1ZUqg,TRPP,1230.0,32111.0,5.0
