artist_id,artist_id_melon,artist_name,song_name,melon_song_likes
1,227741,갤럭시익스프레스,멈출 수 없어,38
1,227741,갤럭시익스프레스,문,29
1,227741,갤럭시익스프레스,난 아무것도 아닌데,92
1,227741,갤럭시익스프레스,진짜 너를 원해,523
1,227741,갤럭시익스프레스,Sharking,39
1,227741,갤럭시익스프레스,지나고 나면 언제나 좋았어,184
1,227741,갤럭시익스프레스,House Of 폐인,26
1,227741,갤럭시익스프레스,피리소리,22
1,227741,갤럭시익스프레스,Reggae 치킨,30
1,227741,갤럭시익스프레스,Love Is,26
1,227741,갤럭시익스프레스,쎄이왓츄웡,28
1,227741,갤럭시익스프레스,요즘 개들은 짖지 않는다,53
1,227741,갤럭시익스프레스,매일매일,30
1,227741,갤럭시익스프레스,빗속의 女人 (원곡 신중현),121
1,227741,갤럭시익스프레스,꿈의 그림자,49
1,227741,갤럭시익스프레스,Arkadia,21
1,227741,갤럭시익스프레스,Reverse,21
1,227741,갤럭시익스프레스,떠나는 날,52
1,227741,갤럭시익스프레스,나의 지구를 지켜줘,132
1,227741,갤럭시익스프레스,Jungle The Black (노래방 Ver.),50
1,227741,갤럭시익스프레스,홀로 이렇게 (김희권 Ver.),32
1,227741,갤럭시익스프레스,Come On And Get Up,51
1,227741,갤럭시익스프레스,홀로 이렇게,207
1,227741,갤럭시익스프레스,가요 (Original By EE),28
1,227741,갤럭시익스프레스,Worm Hole,16
1,227741,갤럭시익스프레스,오늘밤 너와,145
1,227741,갤럭시익스프레스,Lost Days (New-Recording Ver.),40
1,227741,갤럭시익스프레스,Break It Down ('프리스타일 풋볼' 주제곡),119
1,227741,갤럭시익스프레스,개구쟁이,279
1,227741,갤럭시익스프레스,물좀주소,31
1,227741,갤럭시익스프레스,물 좀 주소,25
1,227741,갤럭시익스프레스,머나먼 항해,54
1,227741,갤럭시익스프레스,난 어디로 가는 걸까,75
1,227741,갤럭시익스프레스,Jungle The Black,79
1,227741,갤럭시익스프레스,또 다른 하루,21
1,227741,갤럭시익스프레스,Laika,33
1,227741,갤럭시익스프레스,Midnight Cremator,21
1,227741,갤럭시익스프레스,불타는 하늘아래,21
1,227741,갤럭시익스프레스,Black Marsh,19
1,227741,갤럭시익스프레스,Kick Out The Jams (Original By Mc5),30
1,227741,갤럭시익스프레스,Ghost,18
