artist_id,artist_name,instagram_follower_cnt
0,250,36179
1,갤럭시익스프레스,4053
2,검엑스,3149
3,검정치마,237982
4,구남과여라이딩스텔라,5519
5,권진아,201809
6,극동아시아타이거즈,8744
7,글렌체크,29981
8,김늑,1890
9,김뜻돌,39195
10,김윤아,138865
